,power_price,gas_price,bhkw_bin,storage_bin,bhkw_gas,bhkw_power,bhkw_heat,plant_supply_power,storage_power,storage_energy
126,111.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
127,111.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
128,111.71,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
129,113.63,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
130,128.35,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
131,111.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
132,111.71,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
133,111.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
134,111.71,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
135,124.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
136,136.8,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
137,150.95,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
138,169.54,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
139,150.96,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
140,150.95,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
141,135.34,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
142,122.87,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
143,128.45,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
144,122.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
145,106.25,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
146,104.78,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
147,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
148,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
149,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
150,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
151,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
152,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
153,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
154,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
155,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
156,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
157,103.73,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
158,103.73,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
159,105.05,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
160,131.21,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
161,141.58,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
162,175.75,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
163,175.75,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
164,161.92,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,141.58,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,133.97,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
167,131.27,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
168,123.02,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,104.77,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,1.0
170,97.09,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
171,96.27,67.124,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
172,96.27,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
173,96.27,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
174,104.77,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
175,130.74,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
176,164.89,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
177,213.01,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
178,227.04,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
179,227.04,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
180,222.52,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
181,222.52,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
182,231.65,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
183,231.65,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
184,231.66,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
185,231.66,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
186,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
187,241.76,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
188,236.96,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
189,182.37,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
190,170.42,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
191,165.27,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
192,157.25,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
193,134.94,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
194,134.94,67.124,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
195,134.27,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
196,133.22,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
197,133.22,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
198,134.0,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
199,141.29,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,5.0
200,179.76,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
201,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
202,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
203,239.35,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
204,212.11,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
205,217.59,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
