t,value,temp_fwd,temp_ret
3964,0.4636836619148361,75.0,60.0
3965,0.5350553968526047,75.0,60.0
3966,0.37168194229331364,75.0,60.0
3967,0.30971777046573734,75.0,60.0
3968,0.11250311192773224,75.0,60.0
3969,0.10692444522057197,75.0,60.0
3970,0.10274044519020177,75.0,60.0
3971,0.09995111183662161,75.0,60.0
3972,0.17001181187728054,75.0,60.0
3973,0.26573980251426793,75.0,60.0
3974,0.2703367416108438,75.0,60.0
3975,0.2865894275571889,75.0,60.0
3976,0.3101392578733887,75.0,60.0
3977,0.2990669822047623,75.0,60.0
3978,0.3925978963841926,75.0,60.0
3979,0.45060619003706537,75.0,60.0
3980,0.5130495808274971,75.0,60.0
3981,0.5176278960458824,75.0,60.0
3982,0.41422266297858956,75.0,60.0
3983,0.43434578503528865,75.0,60.0
3984,0.3711948505562711,75.0,60.0
3985,0.369109192552316,75.0,60.0
3986,0.328419019594414,75.0,60.0
3987,0.3011682485448614,75.0,60.0
3988,0.2684186916872353,75.0,60.0
3989,0.30338457726427676,75.0,60.0
3990,0.11738444529649748,75.0,60.0
3991,0.18640451163561217,75.0,60.0
3992,0.11250311192773224,75.0,60.0
3993,0.11134088969707387,75.0,60.0
3994,0.25526329860861924,75.0,60.0
3995,0.4467382912999867,75.0,60.0
3996,0.5213929169986313,75.0,60.0
3997,0.44258456928719475,75.0,60.0
3998,0.4571020964217506,75.0,60.0
3999,0.4454398940541297,75.0,60.0
4000,0.564978675602152,75.0,60.0
4001,0.5665387221838334,75.0,60.0
4002,0.6344099276640225,75.0,60.0
4003,0.7016726993438346,75.0,60.0
4004,0.7097619826751668,75.0,60.0
4005,0.672188707308147,75.0,60.0
4006,0.5672667700471355,75.0,60.0
4007,0.5464378629296098,75.0,60.0
4008,0.44623156686756593,75.0,60.0
4009,0.3971649698713273,75.0,60.0
4010,0.3853313637074086,75.0,60.0
4011,0.3157483991893638,75.0,60.0
4012,0.32235109375898874,75.0,60.0
4013,0.24638581902512952,75.0,60.0
4014,0.16423297040424828,75.0,60.0
4015,0.37676723022583936,75.0,60.0
4016,0.349265915448182,75.0,60.0
4017,0.49035799119702284,75.0,60.0
4018,0.5144525032774779,75.0,60.0
4019,0.507919717472102,75.0,60.0
4020,0.4823401522648679,75.0,60.0
4021,0.5437530741960888,75.0,60.0
4022,0.48399274025577604,75.0,60.0
4023,0.437261126595876,75.0,60.0
4024,0.44821323988985645,75.0,60.0
4025,0.4007828688164966,75.0,60.0
4026,0.5145943444341369,75.0,60.0
4027,0.5756862649400024,75.0,60.0
4028,0.6144256860988364,75.0,60.0
4029,0.5724906761382974,75.0,60.0
4030,0.4512060022406964,75.0,60.0
4031,0.4970956871125381,75.0,60.0
4032,0.4210438057759224,75.0,60.0
4033,0.38218021819193865,75.0,60.0
4034,0.37666929613733224,75.0,60.0
4035,0.346960842996876,75.0,60.0
4036,0.3995580156929918,75.0,60.0
4037,0.31976794095622396,75.0,60.0
4038,0.154785197920164,75.0,60.0
4039,0.11901155641941924,75.0,60.0
4040,0.11575733417357574,75.0,60.0
4041,0.11459511194291735,75.0,60.0
4042,0.21817289487400265,75.0,60.0
4043,0.28260326304425487,75.0,60.0
4044,0.33318435133911506,75.0,60.0
4045,0.38752975585876054,75.0,60.0
4046,0.34670992182759414,75.0,60.0
4047,0.3467330159081413,75.0,60.0
4048,0.32471845778144215,75.0,60.0
4049,0.3100489425358159,75.0,60.0
4050,0.4071927107033977,75.0,60.0
4051,0.4663978600738,75.0,60.0
4052,0.5132961286778821,75.0,60.0
4053,0.5641620990139492,75.0,60.0
4054,0.5148355247311058,75.0,60.0
4055,0.5587679365364777,75.0,60.0
4056,0.4734631042604539,75.0,60.0
4057,0.40783931537686363,75.0,60.0
4058,0.3845511338104998,75.0,60.0
4059,0.35565650647656455,75.0,60.0
4060,0.35878644690730543,75.0,60.0
4061,0.4320067004182976,75.0,60.0
4062,0.17449382180575515,75.0,60.0
4063,0.11250311192773224,75.0,60.0
4064,0.10506488965151856,75.0,60.0
4065,0.1013457785134117,75.0,60.0
4066,0.09809155626756821,75.0,60.0
4067,0.09646444514464644,75.0,60.0
4068,0.14851569775586002,75.0,60.0
4069,0.2633524831382136,75.0,60.0
4070,0.26957554917133714,75.0,60.0
4071,0.2908000027909862,75.0,60.0
4072,0.3180105370457339,75.0,60.0
4073,0.30242229817757105,75.0,60.0
4074,0.39885727299633456,75.0,60.0
4075,0.451922199400559,75.0,60.0
4076,0.45596661722559845,75.0,60.0
4077,0.4274092182311101,75.0,60.0
4078,0.37325745921820175,75.0,60.0
4079,0.40530489190274166,75.0,60.0
4080,0.35097225367317625,75.0,60.0
4081,0.37348950228520106,75.0,60.0
4082,0.34716760784979794,75.0,60.0
4083,0.302116077420699,75.0,60.0
4084,0.287953490070637,75.0,60.0
4085,0.30861028820544634,75.0,60.0
4086,0.11436266749678568,75.0,60.0
4087,0.10785422300509868,75.0,60.0
4088,0.10157822295954338,75.0,60.0
4089,0.09692933403690981,75.0,60.0
4090,0.09321022289880296,75.0,60.0
4091,0.08925866731456443,75.0,60.0
4092,0.1243206063749526,75.0,60.0
4093,0.2643860847533723,75.0,60.0
4094,0.2832588258905962,75.0,60.0
4095,0.3094146823308518,75.0,60.0
4096,0.32883663265522517,75.0,60.0
4097,0.30132022488708615,75.0,60.0
4098,0.39213182366677335,75.0,60.0
4099,0.44402816665097056,75.0,60.0
4100,0.4594112404279129,75.0,60.0
4101,0.4287484849831151,75.0,60.0
